x,y,cp,dun
0.019369152,0.046505184,0.698021844,51487.60104
0.017037087,0.043283002,0.752651499,61254.78508
0.014852137,0.04002281,0.804188918,68841.90606
0.012814968,0.036728374,0.852248431,73965.88655
0.0109262,0.033403859,0.895984245,75215.33234
0.009186408,0.030053821,0.935252651,72820.08671
0.007596123,0.026686296,0.969318071,67134.32319
0.00615583,0.02331203,0.997029516,57936.37093
0.004865966,0.019944256,1.021037899,167512.2322
0.003726924,0.016602996,1.036880437,118714.1294
0.002739052,0.013317662,1.042885531,63386.74853
0.001902651,0.010131086,1.042304772,15644.64367
0.001217975,0.007112949,1.04381326,-50463.70929
0.000685233,0.004378862,1.033233668,-27390.66355
0.000304586,0.002109158,1.024619956,-39432.50109
7.62E-05,0.000558949,1.017300294,-49977.07803
0,8.04E-11,1.014348552,-53856.81908
0.985147863,0.001584212,0.170655354,-201892.197
0.982962913,0.00166445,0.168547137,-202925.8687
0.980630848,0.00175001,0.16664158,-204000.7304
0.978152378,0.001840896,0.164795675,-204867.1358
0.975528258,0.001937223,0.163051806,-205522.003
0.972759288,0.002039122,0.161319418,-206353.4379
0.96984631,0.002146609,0.159653908,-207015.6372
0.966790213,0.002259627,0.158117472,-207645.2352
0.963591927,0.002378125,0.156576498,-208317.647
0.960252427,0.002502132,0.155218792,-208639.4631
0.956772729,0.002631738,0.153862162,-209162.7188
0.953153894,0.00276703,0.152524213,-209564.2962
0.949397023,0.002908009,0.15127235,-209980.4475
0.945503262,0.003054636,0.150118745,-210447.582
0.941473796,0.003206874,0.149020712,-210462.8522
0.937309854,0.003364761,0.147880636,-210844.525
0.933012702,0.003528375,0.146908244,-211449.5171
0.92858365,0.003697793,0.145951785,-211623.8637
0.924024048,0.003873011,0.145034965,-211881.5289
0.919335284,0.00405399,0.144204012,-211710.001
0.914518786,0.004240687,0.143327253,-212027.1352
0.909576022,0.00443318,0.142588301,-212364.775
0.904508497,0.004631595,0.141877041,-212637.3527
0.899317755,0.004836055,0.141199137,-212980.3822
0.894005377,0.005046579,0.140554159,-212915.032
0.888572981,0.005263127,0.139899685,-212794.3628
0.883022222,0.005485664,0.139250752,-213179.4498
0.87735479,0.005714215,0.138704785,-213369.8312
0.871572413,0.005948824,0.1382031,-213558.8887
0.865676851,0.006189548,0.137677897,-213727.8467
0.8596699,0.006436459,0.137206166,-213763.8813
0.853553391,0.006689658,0.136755416,-213914.9336
0.847329185,0.006949232,0.136340452,-213969.5476
0.84099918,0.007215235,0.135851867,-214309.4743
0.834565303,0.007487703,0.135433219,-214663.0913
0.828029514,0.007766671,0.135033967,-214558.7826
0.821393805,0.008052145,0.134617806,-214446.1397
0.814660196,0.008344126,0.13416232,-214668.4042
0.807830738,0.008642604,0.133710708,-214985.4288
0.800907512,0.00894757,0.133289462,-215224.7336
0.793892626,0.009259012,0.132920121,-215215.07
0.786788218,0.009576922,0.132501951,-215292.5427
0.779596452,0.009901383,0.132074465,-215707.0863
0.772319518,0.010232499,0.131626927,-216052.7
0.764959632,0.010570359,0.131180218,-216259.3072
0.757519037,0.010914823,0.130666083,-216666.7049
0.75,0.011265659,0.130202321,-216811.2227
0.74240481,0.011622669,0.129766043,-216638.3853
0.734735781,0.011985938,0.129283087,-216832.4256
0.72699525,0.012355685,0.128768575,-217407.7364
0.719185573,0.01273206,0.128186148,-217901.941
0.711309131,0.01311484,0.127601901,-218037.0554
