TITLE     = "Fluent Common Fluid Files Data"
VARIABLES = "X"
"Y"
"Static Pressure"
"Static Temperature"
DATASETAUXDATA Common.DensityVar="5"
DATASETAUXDATA Common.PressureVar="11"
DATASETAUXDATA Common.TemperatureVar="13"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="9"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="7"
DATASETAUXDATA Common.UVar="14"
DATASETAUXDATA Common.VectorVarsAreVelocity="True"
DATASETAUXDATA Common.ViscosityVar="8"
DATASETAUXDATA Common.VVar="15"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=4630
 I=512, J=512, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 2.984344363E-01 -1.000000000E+00 1.015129062E+05 3.001622314E+02
 3.023483455E-01 -1.000000000E+00 1.015120156E+05 3.001614990E+02
 3.062622249E-01 -1.000000000E+00 1.015112188E+05 3.001608887E+02
 3.101761341E-01 -1.000000000E+00 1.015103516E+05 3.001601868E+02
 3.140900135E-01 -1.000000000E+00 1.015095859E+05 3.001595764E+02
 3.180039227E-01 -1.000000000E+00 1.015087656E+05 3.001589355E+02
 3.219178021E-01 -1.000000000E+00 1.015080234E+05 3.001583557E+02
 3.258317113E-01 -1.000000000E+00 1.015072422E+05 3.001577454E+02
 3.297455907E-01 -1.000000000E+00 1.015065234E+05 3.001571655E+02
 3.336594999E-01 -1.000000000E+00 1.015057891E+05 3.001565857E+02
 3.375733793E-01 -1.000000000E+00 1.015051016E+05 3.001560364E+02
 3.414872885E-01 -1.000000000E+00 1.015044062E+05 3.001554871E+02
 3.454011679E-01 -1.000000000E+00 1.015037500E+05 3.001549683E+02
 3.493150771E-01 -1.000000000E+00 1.015030859E+05 3.001544495E+02
 3.532289565E-01 -1.000000000E+00 1.015024531E+05 3.001539307E+02
 3.571428657E-01 -1.000000000E+00 1.015018281E+05 3.001534424E+02
 3.610567451E-01 -1.000000000E+00 1.015012266E+05 3.001529846E+02
 3.649706542E-01 -1.000000000E+00 1.015006406E+05 3.001525269E+02
 3.688845336E-01 -1.000000000E+00 1.015000703E+05 3.001520691E+02
 3.727984428E-01 -1.000000000E+00 1.014995234E+05 3.001516724E+02
 3.767123222E-01 -1.000000000E+00 1.014989844E+05 3.001512451E+02
 3.806262314E-01 -1.000000000E+00 1.014984766E+05 3.001508484E+02
 3.845401108E-01 -1.000000000E+00 1.014979688E+05 3.001504517E+02
 3.884540200E-01 -1.000000000E+00 1.014975000E+05 3.001500854E+02
 3.923678994E-01 -1.000000000E+00 1.014970312E+05 3.001497192E+02
 3.962818086E-01 -1.000000000E+00 1.014966016E+05 3.001493530E+02
 4.001956880E-01 -1.000000000E+00 1.014961719E+05 3.001490173E+02
 4.041095972E-01 -1.000000000E+00 1.014957812E+05 3.001487122E+02
 4.080234766E-01 -1.000000000E+00 1.014953906E+05 3.001484070E+02
 4.119373858E-01 -1.000000000E+00 1.014950391E+05 3.001481628E+02
